0	0.07758
0.1	0.11887
0.2	0.13799
0.3	0.12359
0.4	0.12469
0.5	0.1617
0.6	0.22951
0.7	0.26437
0.8	0.28554
0.9	0.29705
1	0.31633
1.1	0.31827
1.2	0.31599
1.3	0.30544
1.4	0.30002
1.5	0.30014
1.6	0.30163
1.7	0.29745
1.8	0.29907
1.9	0.3102
2	0.3218
2.1	0.31922
2.2	0.31114
2.3	0.30264
2.4	0.30536
2.5	0.30687
2.6	0.29567
2.7	0.28926
2.8	0.29548
2.9	0.30221
3	0.29939
3.1	0.29858
3.2	0.29944
3.3	0.29712
3.4	0.30198
3.5	0.30204
3.6	0.29914
3.7	0.2952
3.8	0.29312
3.9	0.29618
4	0.29112
4.1	0.28461
4.2	0.27994
4.3	0.28108
4.4	0.27947
4.5	0.28228
4.6	0.30117
4.7	0.30138
4.8	0.30816
4.9	0.29949
5	0.35313
5.1	0.40705
5.2	0.45188
5.3	0.52547
5.4	0.56163
5.5	0.59681
5.6	0.63716
5.7	0.67235
5.8	0.7048
5.9	0.73683
6	0.77617
6.1	0.82171
6.2	0.87344
6.3	0.92492
6.4	0.96901
6.5	1.00891
6.6	1.05987
6.7	1.11629
6.8	1.16418
6.9	1.21646
7	1.2784
7.1	1.3357
7.2	1.3871
7.3	1.44787
7.4	1.5168
7.5	1.58225
7.6	1.64733
7.7	1.7188
7.8	1.7714
7.9	1.81074
8	1.8335
8.1	1.86542
8.2	1.88592
8.3	1.90748
8.4	1.93495
8.5	1.94696
8.6	1.93452
8.7	1.92014
8.8	1.89466
8.9	1.84019
9	1.79939
9.1	1.78056
9.2	1.7637
9.3	1.71414
9.4	1.67192
9.5	1.63755
9.6	1.61202
9.7	1.58308
9.8	1.52299
9.9	1.48707
10	1.44162
10.1	1.41378
10.2	1.35343
10.3	1.31743
10.4	1.26368
10.5	1.23105
10.6	1.20124
10.7	1.17735
10.8	1.1371
10.9	1.11971
11	1.11468
11.1	1.10459
11.2	1.08005
11.3	1.05869
11.4	1.0437
11.5	1.01497
11.6	0.98136
11.7	0.94362
11.8	0.90476
11.9	0.85396
12	0.82244
12.1	0.79701
12.2	0.76455
12.3	0.73643
12.4	0.70004
12.5	0.67577
12.6	0.64541
12.7	0.61619
12.8	0.5799
12.9	0.54915
13	0.5041
13.1	0.46287
13.2	0.43135
13.3	0.4012
13.4	0.36518
13.5	0.33637
13.6	0.32538
13.7	0.31832
13.8	0.31016
13.9	0.30505
14	0.30546
14.1	0.30673
14.2	0.30604
14.3	0.30778
14.4	0.30793
14.5	0.30659
14.6	0.30662
14.7	0.30718
14.8	0.30729
14.9	0.3063
15	0.30687
15.1	0.30769
15.2	0.30711
15.3	0.30689
15.4	0.30668
15.5	0.30679
15.6	0.30762
15.7	0.3067
15.8	0.30654
15.9	0.30636
16	0.30737
16.1	0.3074
16.2	0.30643
16.3	0.30523
16.4	0.30477
16.5	0.30525
16.6	0.30602
16.7	0.30606
16.8	0.30615
16.9	0.30604
17	0.30586
17.1	0.30569
17.2	0.30495
17.3	0.30477
17.4	0.30479
17.5	0.30547
17.6	0.30559
17.7	0.30504
17.8	0.30512
17.9	0.30571
18	0.30608
18.1	0.30558
18.2	0.3055
18.3	0.30564
18.4	0.30498
18.5	0.30519
18.6	0.3053
18.7	0.30478
18.8	0.30427
18.9	0.30342
19	0.30223
19.1	0.30216
19.2	0.30319
19.3	0.30393
19.4	0.30418
19.5	0.30438
19.6	0.30406
19.7	0.30382
19.8	0.30423
19.9	0.30516
20	0.30516
